,10. 10мВт.csv,11. 25мВт.csv,12. 50мВт.csv,17. контроль АЛА+.csv,19. контроль АЛА -.csv,1_1 А контроль АЛА 75мВт.csv,3_1 В 3мВт.csv,3_2 В 5мВт.csv,9. 15мВт.csv
30,-1359286107.0718646,-284491922.755986,-464959591.5247885,-2634976544.6832576,70731129.0397589,-118388125.81330033,-3033716915.869389,-121633201.41371962,69666704.17387904
31,-173898771.8190219,-313745462.03553814,-1511291878.7223315,-536108725.6030772,122312483.4657272,-954071746.1095886,-210440644.41242936,-1150519262.1459498,25682529.679651286
32,-100065694.24361251,-97287288.21232796,-1944403812.3299465,-1668561517.1248195,110843394.32041892,-3597714720.997164,-1603143623.6202188,-728654936.8125176,32812222.668768283
33,-144805393.00078863,-706456004.2323589,-3346467108.2174463,-35813243.0329928,-156666409.10147128,-828530380.2087501,-2749291950.999482,-483772088.82478416,7954308.210546997
34,-24628222.96475551,-589353617.2086308,-1272720588.4844096,-1021436978.1235096,-803304972.0433884,-1039224721.7631187,-464296496.309279,-4607540809.573964,-242508905.1945589
35,-241812829.60673064,-285202246.19059104,-822881967.1174273,-9420723333.877916,-4927893268.080249,-308255150.9859693,-1189216568.92013,-1244770137.564017,265122286.1072021
36,-245758224.01390985,-152330166.80739036,-136314142.7953939,-248158210.6739442,-6329855827.864289,-311721075.9671084,-176427751.617777,-318737752.9729296,-604480060.6905141
37,-608535721.799494,-39625651.72411077,-574002529.5871637,55678061.769441545,-5636696298.935434,-1280183196.7287383,-283213319.73948383,-510648272.0797304,672309702.0623128
38,-102749044.0219173,-295974216.2606009,160388481.91361797,-555976175.2367343,-234471121.9428472,-945343119.3083024,-363808930.1618988,-511120878.377345,-16049343.72253284
39,-300006471.199951,-47705269.37193059,-84880441.24051595,43236615.11466617,-1611892426.5840695,-287371015.779821,-1654768560.4908357,-2120556103.8016224,-275603988.0231279
40,-419705284.7314928,-2179341435.8486547,-46021017.32060855,-348232837.0524008,-3743194417.7402735,-1378296965.9219894,-119525783.53947732,-943923194.3393722,-485934896.4118256
41,-89204894.44062246,37387793.719032,-1031097395.6282984,-2058018362.3067844,-292235904.9786987,-505507995.3407583,-288130964.72249913,-1038593935.3048906,261290012.5144051
42,-286546852.039394,-367007943.2408924,-2072843322.1351264,-70434725.74741806,-7838097418.335357,-1284446373.5379677,-528644658.47848207,-3766969201.1122255,-143259511.5523389
43,27545228.60339552,-512033519.1171351,-1237024490.4238513,-3947332195.349147,-3000949756.357932,-453249406.4928216,-3927958030.524253,8192475.167786474,-121052178.59694833
44,-1408135823.116134,-137228363.2677105,-1002617545.6383814,-1262726356.478066,-9764840019.290602,-582170506.8905771,-1248653078.6104136,-2850092052.6141744,57501988.90672725
45,-426733692.0797141,-45616698.76667596,-550383778.9580967,-2423003378.802141,-1933544798.6138155,-434098874.0148905,-2478603700.330769,-66258609.41632244,-1077586843.071865
46,-700552824.0265433,-45551397.5691997,-1078986379.272828,-1377955581.5151043,-7823590093.382213,-1234765162.581761,-462055006.0448492,-993944698.0828652,-561745969.7681978
47,-180579654.19332463,-487828590.6047053,-618597606.9930493,-22398473.77736798,-2771979365.007793,-279354742.3901243,-274852726.9714228,-2570297409.640354,-51998012.54610956
48,61977441.51924403,-501243713.7069589,-998092969.0907074,-1572606058.4821396,-327745023.5652573,60605550.84663161,-469478305.1849233,-110603483.64237706,-73590298.26549417
49,-16455421.334132131,2266435.229681886,-1524532595.827134,-1783620006.201436,-2752366471.093079,37573745.71182862,-8691014.309438476,-13429827.028398477,293667064.99224216
50,-131883548.44932568,-540834815.3855873,-4501841944.711559,-3901226936.281992,-7130162334.043005,-1169116098.318481,14952881.542838972,-190023033.3144416,-1264652615.4434814
51,-122267667.47910307,-930679232.463249,-1617712951.7365382,-661806324.3123807,194556738.48606023,186947164.599473,-613273085.8063098,-804712356.4568263,-1085828847.074239
52,-299644020.12226266,-1179506549.855415,-4653347058.768996,-1251120368.013274,-4446609162.134964,12871337.447526604,-106803235.7360358,58540941.12349398,-226250234.5068712
53,-79630187.99706773,-519596422.7774072,-782574634.233052,-2872149967.6267514,-546842037.9809093,-1806774714.5766616,-213823563.6273416,-100434327.0548086,354283715.3012287
54,-401709345.61355007,-90026359.43182361,-890588755.0140376,-534973675.2403856,78344708.68824008,-3769206416.890224,-59622635.71780365,-1717040911.9155688,-88164147.24385032
55,-313450233.15548825,-419122781.9669429,-1037928386.3117422,-850955310.9038126,-1032714865.741231,-80043060.69761808,102171882.0365337,-1391186812.23464,-105824053.87625302
56,-1159406813.1188188,-454628473.7888077,-4492838404.783661,-5275546444.218669,-1052903093.3163106,-2113241162.7056768,-25252040.646966167,-646764591.2907006,-464342621.38535833
57,-2256487286.2492194,-1351806033.6231272,1503353747.0123248,-369470424.18787545,-2379871811.091234,-2468064382.0569086,-253991552.12071097,-23585157.96335981,-1424751163.267208
58,-90376158.8756969,-786450411.4523467,-7258490012.741056,-391388896.861811,-3679783015.458324,-2788317071.6130643,-1886679511.2221303,-289748167.34229195,-3371048277.392117
59,-1261783832.9604151,-1697521073.0806613,-2383881627.9685388,-1966161575.351284,-1163417967.119145,1013669640.010636,44548547.28283426,-120638246.2583998,-1208976.0481090462
60,-287949615.2577702,-124851402.63270512,-1423108044.953503,-3275973561.15123,-6252100996.004195,224614975.8427764,-527293123.3789855,-197209693.17945445,-332481061.876566
61,-620134182.3564332,-1369214311.4728186,-2373859745.4957914,-1128652734.752263,-4707246769.854126,-1871644117.2927527,-358851578.2342224,-775082370.6004927,17218425.850365333
62,-322584649.6663743,-248874045.64613223,-59014418.714775726,-14098058016.773245,19121110.386054408,-166644125.0184845,-1630907856.9651246,-235158898.9191164,-142248007.7913525
63,-200049610.3105147,-526579422.6541533,-645983421.7502462,-38451751.6761613,70721799.15970257,-3986120001.963696,-1183844494.7657022,-1248416329.1577191,-428171811.3283447
64,-590583770.6398865,-747075564.9018308,-362821856.54218537,-6023586316.558425,-42799608.5967475,-4973514546.068405,-2243422955.6944485,-74527925.78015664,-49832212.6552084
65,-179583926.7318182,-102392647.05780452,-2977081065.398752,-4916106160.921835,-490893549.2779719,-471105300.99979657,-444495.17406316585,-81808496.39052144,-141282698.27293268
66,-1739487930.1275165,-465005220.6216103,-702077868.406016,-3320181901.7766466,-495857082.7771205,-19036391131.86253,-621923906.8570276,-1294183.67010571,92965331.6828176
67,-563298443.2465974,-2011680416.170348,-1228189655.923901,-7640092551.837117,-163077167.91469464,-105846233.69257244,-5282143934.351266,-383763863.62554026,-166669140.83953556
68,-153604213.63516873,-999414396.0075707,-1030408092.169728,-192491610.2277744,-77229796.53362831,-235174014.2894373,4803542.333121883,-90048224.51018174,60594716.9042013
69,-675817831.6363735,-1391455142.0209,-718679080.7886806,-2378219080.634588,-464563474.0527021,-700419611.8523859,-2563058022.274012,-392012815.3937835,-455340429.3177167
70,-630637030.4230845,-347788609.2161822,-1051184767.2978534,-928272561.7143534,-502900146.9883013,-4691069783.1853285,-445167906.87590754,-458366123.65378135,-44304640.61627599
71,-1458043290.051659,-1978234372.0708709,-2267153088.7651386,-1312214467.9854877,-207431406.5609517,-2475419144.2042875,-245664853.51432243,-417684522.6639033,-48775385.81505982
72,-333014879.6001452,-1017900348.3032304,-177866878.78227273,-2215813735.267846,-94402402.50850897,-830743514.4521621,-716164867.6614207,-164777284.29915416,25894788.867213663
73,-584320105.2322606,-1589372091.0210242,-1745061563.3884385,-1421459688.941191,-2104079.482520701,-603690970.5273155,-944409896.0550638,-204118904.0919456,-3616261.204223901
74,106217632.9445838,-369988744.8964208,-1901749203.9610384,-11282814159.718086,-1557542655.771025,267242536.1858616,-453451021.1842896,-246079943.9955223,22343870.02111459
75,-86112426.08514762,-200631766.1457314,-136396340.634521,-6189268165.898598,-363769526.8826227,72846789.19959603,-191842910.20179263,-1615227444.413915,-340922846.47515714
76,-51585660.27007873,-260131308.9174156,-23900533.96282074,-1332150689.6683657,-619619642.5863663,-3998918486.922617,6347869.047570778,-145123099.19134206,-388633577.0371015
77,-479071126.0607818,-2492023062.3100185,-968419427.1382712,-6872188373.659737,-4564571944.84582,-344102304.18828434,474048777.4731664,-644371497.2851642,-193950683.1592344
78,-467363852.2089116,-1126854720.613358,-127384294.64060946,-1542132554.737386,-6363622901.537164,110524805.99953376,-1249256253.0912342,-2649169658.7926235,-3950582.944263988
79,-1820440395.5948591,-355518732.6537434,-205696441.5805903,-1593813051.3920424,-14879257396.89569,-434539277.5333957,24843270.80168392,-1646028546.014204,-316341278.230823
80,-993331296.0293092,-2008255565.163532,-906649060.7315058,-1029877315.4078856,-6650299589.948895,-441163010.3477846,-2108711586.6485057,-492392667.2533124,97588146.06482482
81,-20894136.91168988,-1142060629.403993,-2658890059.919588,-3705466598.49833,-475924575.5931593,-4285453096.2061234,-4829493873.512465,-81691139.99233977,-1473658483.9780908
82,-59859662.77101504,-604729958.9372361,-291197895.5284012,-1026543978.2699324,-1084104053.1137817,347056526.3867968,-2976098627.717655,-324413167.48753124,-512097098.663199
83,-808980334.1249754,-2690538808.2967453,-619497183.5040245,-3694730971.965672,-506739960.3911616,-510362460.76865655,-132793482.83750768,-256877231.0237796,-2594714409.4389863
84,-201100849.9749477,-1232740346.969767,-1191704287.064348,-6542490628.573951,-1288862340.3605998,-2919554759.216175,212542292.33001536,-332376754.3664306,-130721521.25769842
85,-556088498.1456265,-2039489088.7692108,-1750318452.979726,-160654521.08611026,-265513936.83651668,-2176214113.4531384,-1216754076.707095,-15798886.26759386,130570632.09394865
86,37290430.059805386,-840942496.8005958,-3261392689.71457,-36064983.14408712,1310955509.1878262,-1812105481.429134,-97308874.36973086,-1005480036.2079712,-502309555.63709664
87,-167795536.79924995,-226087767.5953708,-163755005.37561542,-1590048655.321644,-1231251906.2319157,-1825806272.7856736,-532151061.3344915,-697473972.4673309,-46999513.5969049
