,10. 10мВт.csv,11. 25мВт.csv,12. 50мВт.csv,17. контроль АЛА+.csv,19. контроль АЛА -.csv,1_1 А контроль АЛА 75мВт.csv,3_1 В 3мВт.csv,3_2 В 5мВт.csv,9. 15мВт.csv
0,4131.572856156718,3142.8082950547773,4830.903681709159,977.9422393947126,2225.596425471056,1245.7974462946397,2431.437205441189,3415.8399826968703,2547.1182969887423
1,2993.933795536231,5233.658295666408,2340.978149202945,739.1192838239381,2198.109872990057,1283.2858144806332,1324.6142708222949,1965.5953741274527,1320.2316944454349
2,4015.711632284915,3075.819326043974,2273.120575898088,1302.3780319673226,1348.420804779092,3299.1033868412724,2242.601314484621,3251.042438901172,1571.3111625259153
3,3426.0770991882914,3611.164850378227,2014.9274356477329,2587.704167852906,6531.969405685211,2994.026582224906,787.2304074970622,1833.5873725821425,1565.6787382689872
4,3470.57031806344,3050.6333925637023,1608.7995526920774,1366.937914926731,1504.2932727446002,1645.8381912406237,2656.575586528398,2897.630159489868,1061.00309660613
5,2802.6806047933014,5484.479647069057,2560.48316059784,1692.0621946085914,6534.802578138058,1323.7835505522676,3224.13638240092,7729.444212343479,1581.6087423404042
6,2884.17931617606,2297.5451879187453,1818.6175440346824,3067.7332325730736,4514.069607771067,2741.841947365113,3079.999659463555,2939.2813105200444,1472.9183987247295
7,2510.79159977069,2665.350593409937,2456.921163548173,861.7203377132057,2048.4907096811285,3044.623260396399,1764.6946546393483,1693.509307316565,1153.540953246552
8,4107.481079371405,2450.945580871277,1686.4676584964227,1171.3636486408138,2159.3379490553007,2131.181015630783,1717.9049859325016,1576.8647089653314,1323.0273118838234
9,5690.604120691886,3205.890509105289,1645.5913018681829,6920.084409545495,2273.652833138144,2332.491853431239,2307.667518854706,2931.120471121305,1430.5063473394916
10,1317.565341720613,2663.8537019830583,972.2725796451876,1532.9325789611748,2280.173388932044,3805.402320473409,5920.5803263058215,3602.455858287265,1192.9193175258229
11,2251.319745633496,4001.902338576172,2323.563708671557,1382.413000220603,3083.053109171617,1946.746665996368,2486.851697868152,3317.748595842107,1759.1923623894747
12,3618.341731675822,3487.244069298451,1470.9056524105613,1416.854578688303,3668.511164393914,2402.9592481544887,1947.63913507566,3751.783316644486,1809.086605450982
13,2316.1363141669704,4424.783389642886,2186.2941710253403,3934.722747045943,2375.595788354094,3405.196567647652,2386.517899517182,1981.8719705177748,3454.3946348187947
14,2010.974208401488,3726.689360668928,3401.750210462453,1658.722925205681,799.6664654043977,2583.736604728172,2251.1968597819923,2135.6512112785063,2348.6196080703025
15,1520.655653959935,4239.952286294954,1642.9279907361845,1695.291493273441,1675.567739855985,3195.782507084498,2234.2441493397564,962.7103960921204,1811.7106358901608
16,2116.1547516594846,6528.253547578649,2558.911573490272,1539.1865722167186,3511.246900187374,2601.279347035911,2168.5109361052178,2984.5054329839973,1966.1092037331173
17,4632.206463508258,2062.756479698037,1940.461906896588,4341.2573362211415,3490.046812985097,2424.9723515736696,2193.6041394081794,2134.909322448861,2630.848537444809
18,2996.871613216282,4025.133007917039,1900.167064634862,1392.0638344178287,2475.4809175340865,1582.4066454109563,2131.574040108754,3148.8923018224755,1515.64579263839
19,4580.257093034593,3517.061735922231,2108.421981204424,1912.461265691852,2914.159554474448,1880.9180799724445,3530.2520243869067,3030.500027363129,3102.017847810886
