,10. 10мВт.csv,11. 25мВт.csv,12. 50мВт.csv,17. контроль АЛА+.csv,19. контроль АЛА -.csv,1_1 А контроль АЛА 75мВт.csv,3_1 В 3мВт.csv,3_2 В 5мВт.csv,9. 15мВт.csv
41,86692743210.90945,29350552559.06134,143380004741.05515,584695908502.5905,714261953529.158,553175890330.0254,43553294098.02982,206130753363.2984,78048858605.90044
42,30973577347.79172,40364496958.74224,441794559788.6364,35646341514.50436,2820606862561.2227,342799408744.76843,974660523823.383,1080158601553.6012,41131414170.87172
43,2375414760.7725787,115565635047.11333,173447637189.52457,1212080492723.3557,2411043367198.501,187932865866.8018,1101582080034.175,2256790716.8480506,76246341020.25548
44,338671090856.0342,47169900079.49929,216416148294.81555,457638727545.0668,5938353643070.258,193491791152.6709,377376582823.1333,593841429794.3835,238423366317.78607
45,54285287610.81374,13060164564.149872,102018167883.17764,674729469796.6886,617185130754.3243,89901574192.8507,927489220619.764,6959186240.338526,287110387738.4914
46,113790922934.29504,7033495125.2583,159228790807.60715,304961681670.4144,3169758761179.206,441975224141.44855,308095384788.4647,189589974191.20584,331014287172.25507
47,14808636089.1571,75746507906.67462,232451898525.3524,85849930146.611,1209983537049.5164,167830845300.06607,886483892736.2102,537220344490.8579,3029396113.266589
48,5308063347.667931,329422470866.64264,252160753228.4358,565084202135.048,427067573707.433,79569536965.89175,92955064667.2982,13387649348.135998,23360807134.564247
49,4956236710.122759,2581311015.4913163,251430872204.22684,401473957447.42847,901564352195.973,205368291492.83365,69843395117.67181,27165056678.63853,207681373339.89807
50,22434178662.88815,173538009719.29504,956559059212.8152,2212836826239.915,2813475767002.2314,582669788542.3273,1096033493.2170827,36219115807.02637,439340919013.86017
51,32983368859.7832,249943090295.2802,238412854170.8617,125358574000.31384,82525228598.20163,351929051523.7261,152621533840.5207,144109662809.34293,520959632619.2772
52,45049671660.61289,513760598701.5197,2327994768220.008,323303091088.549,1054742925489.4436,42646125134.0238,141015882007.43823,68248448626.06397,31356789058.144867
53,6420704798.610432,121655869779.61066,225565179919.08563,1272200388684.628,798289176477.5754,853221687286.0483,28468654819.01692,34784004973.38029,100166179500.83548
54,61664434336.71464,11065742097.865623,203018177879.4064,198570106094.0532,306498554813.90424,1114102215918.4,13456965819.87535,522971428803.9044,23621980231.03965
55,50242670222.51342,96420744996.71243,171687693307.25702,1625315799282.7815,1995440969265.4768,31684044437.91068,151845723334.0291,347964552464.7468,61538903057.87238
56,467684289179.76086,60462550467.57958,1293692595002.6155,1857431755061.4795,696422452242.2214,1011611654196.7876,20479422551.44899,204934447987.8079,84730311530.208
57,722425858449.3885,227931381050.79227,1120275552177.584,340611719807.411,840694489871.5343,1073459583645.9368,80144141225.52505,20279718172.51264,398881258142.6039
58,13972060547.32032,159001439308.58768,5254456436064.1,533164303035.0867,3398554940949.286,941200976932.3824,490938455352.7358,48754982016.76158,1639481393712.9114
59,211780538675.3158,258564611004.66,424574943824.6013,622038704765.1401,363695057910.6004,830789648790.09,64287118470.82189,37522426757.26281,125151739528.94965
60,52891826264.182106,10965718731.46036,239070331854.6648,757195206940.6078,5341496065808.436,441379256512.70056,177578262513.51205,50515800508.76277,57947420079.47477
61,284615739795.8056,307265269085.9906,404476865393.8473,352609135923.8258,1854211722205.3333,555738286800.5881,47735563389.21591,232516248617.606,6902374747.8678055
62,69460917774.89743,318134408271.0679,33858530765.592403,5023309623837.125,46172956902.10993,266112686520.69263,766849008291.2034,35418474920.18203,62160607649.61143
63,30361002358.61753,146990509074.22375,91772827669.49864,5393594252.3732815,13461006249.53343,1376458513620.9507,264922511753.7013,232631112628.4609,172508493043.64517
64,106293940366.5172,150223516997.15662,103063589199.8426,2213133035536.014,49778858968.11013,1997117702239.696,485520421321.6027,8903482358.805418,33839600234.257256
65,74276706395.19469,15429534472.188356,722414168968.658,1250125889296.9863,302363501716.38727,99114425443.08482,205562615.08154628,44317099407.89108,28580620493.04724
66,374688449796.263,88287522338.45856,111270189372.27824,709460748856.3068,34198491120.86536,10811157062229.902,98455119688.92924,19879127093.29836,57113169826.79728
67,90988858661.41966,517391819066.3437,225740459961.2172,2302667319939.5645,65364289231.5713,208992179543.53412,1984666209580.837,57826037462.710655,64766786713.52039
68,112802837502.28044,177193823260.1126,234864896491.0736,70454837636.29974,136719242321.65782,48274702002.066216,1843494439.7013216,35826779463.14827,32573933410.00761
69,103212901146.8193,261640787088.39944,243690126208.832,577630209846.1382,490108880297.6184,749734055532.5057,952388853063.7769,172866628335.88318,71621579287.1728
70,151100416774.65775,87671660516.34746,2230281728338.16,171624697872.44473,66649152478.2678,3024885719473.069,102236242844.95462,60325817997.897,28504010761.42905
71,401016925926.3501,1634855911971.7822,408619850524.372,510966757076.73975,132146837794.89532,830762626105.3004,67761308135.26398,60834148233.86294,15646231551.30504
72,93455477855.20406,725994863445.1213,112396621769.63065,581595751071.0856,18808100418.400925,237154115436.6305,101303864927.29298,43292582123.80171,12091171296.23538
73,165844946036.7171,279380598322.09393,366442425096.16254,423071915920.07513,13933318135.743578,197476483357.44376,623869730891.6592,34619633600.83671,11529058948.0355
74,55016215682.45079,672769175900.6271,282257525151.7649,4137901811015.042,622035551502.695,29105113522.63886,78054214646.8964,41049542902.11971,6285900116.311412
75,85280473608.67291,24784440247.521973,21078394035.53989,1950623917991.2185,90541917909.23036,7517191516.998462,54703006088.61181,353842876803.1197,56141095495.14205
76,7628251886.431004,130732777962.17192,22336232028.41699,384552520404.5453,210225704267.2169,1335887352536.7825,611923678.0788921,17666445060.891994,151761827589.77942
77,68196133307.81168,2151720384185.7915,199706188831.93463,2365550656250.632,2964202389321.8945,121721975225.9754,2269359781793.9155,213566717460.42572,27761589173.54082
78,147307169736.97354,304268681738.93146,24845465476.734947,637666285178.363,2486154658204.847,175951009338.52618,268483230247.16644,777349813641.681,33539758637.21754
79,513786793739.9022,80896350932.03616,62623528977.87996,283652186016.485,8670078330935.26,482008557356.8288,82991356965.91682,517124389385.61945,230263271740.8401
80,280314989002.726,514674105696.1584,265945061454.97137,187775963677.1388,3512303681535.3184,275799145696.3812,1386672193479.2874,138369291681.72696,150765442935.8438
81,9910062217.548462,606764511625.1759,478292260730.4624,1000769677738.2795,96246757409.92094,1571564418496.686,1679858289184.776,18111120237.111107,832405864931.5205
82,6655805865.457398,109911378433.1819,404870484048.8714,192426855640.6196,395259598182.8373,870911893309.7264,1117945809075.5544,23035894065.8094,88178577374.56662
83,141099793928.54474,1358063973327.4824,250978637278.17657,1066957391628.4656,130823406754.86784,270997558152.49,38262092148.67123,29140074498.701138,1008554225918.5876
84,33094916682.601124,439458213986.78107,1498952390326.4785,2729365428899.898,353366454112.5022,2035123869773.5857,164971894693.90262,54365442351.09968,136024743829.2735
85,201637851929.5832,821127832826.5164,341387714835.1924,159656973111.15976,825784876210.5698,643625435569.0175,229769704033.33856,20679907448.769016,75387544931.27148
86,3672729672.0139294,209033238023.9612,418501428374.3164,259325241294.1925,1716207343744.9297,646261992064.5325,101825145295.12468,260897186030.6064,181829909996.1325
87,64973584743.714645,22718448155.00444,89974760072.29858,357606957647.0332,509937287339.5624,773612631169.8992,214331943818.2461,147087576857.3947,26984231070.447407
88,367788791946.57983,246975772883.0802,132701751247.21614,570733165916.4152,225673193471.9873,69952302691.24953,174957558988.74902,210856610844.4141,12829786756.299711
89,873536965191.7223,415897452061.0854,287409660575.7693,400539610379.7612,1122715098463.0874,49817236158.15878,2817723423.9916387,979509829069.6729,181605779763.9257
90,414196623037.8808,62572776877.50977,634890720334.1707,418589564695.0344,182567220605.89783,118864353504.65436,146375266142.6369,63169141141.72724,187515935831.259
91,300510067279.86414,4006987428.601784,604123544789.5875,357391787213.1385,1512964162924.479,120295885693.99374,478411419740.3138,1032874100.8476018,45402781216.75595
92,419031270413.30426,171689337865.765,279513980278.03705,163213832754.55893,288982069172.1433,714751183495.6093,512737175895.219,19931876289.03504,57579954674.55318
93,147708245219.06863,44468943736.93861,376176972000.0314,327138027270.3541,70914958631.34074,721840448148.8265,650007437017.5934,721766310.4341338,1251641228840.0613
94,117597513598.78864,5824188280.746914,112989964563.67894,675402319151.881,11957252728319.014,61965167348.08135,136062250913.4136,42650290463.09183,105823972361.85828
95,1273140911.382462,44014082707.36355,4243011272250.996,329776161925.8729,275525587373.2241,372539626320.5264,177069446135.52444,486540044260.8154,23023062927.542408
96,156692272412.9035,19615225504.357803,1331423954957.4326,1393567320098.6008,19074870311.407364,231627545911.64044,5869356954.001011,97457952369.5086,13785249163.443577
97,302970859628.6495,22353982721.85829,1049439789123.4991,1556944492489.9485,20083435295.28853,2669730958471.8325,80035439701.20041,113417133952.663,23040106251.33288
98,1176374965.3071172,102209613711.5933,1305025847144.1975,266304281606.24973,36824070087.25815,575822343420.6227,41362366341.91856,233166849981.84613,328167878282.9325
99,171089085163.09824,35944859421.33315,187725288032.8707,173598077762.35522,1192025890049.705,961093334759.892,42315425878.630775,114756073261.33649,401352118342.73627
100,32196765691.75196,14057834038.688145,469293941396.2825,427666348163.10144,335003532768.3288,1288314184656.376,1507363897409.739,12995958598.930923,90396719233.9795
101,269725607.6786922,21920146429.771484,118580923858.21742,247243859955.9666,247320530041.61865,183466096439.50595,19217612761.602512,30420036937.960384,809876853194.3125
102,160889709568.7706,69643720254.69221,45445933823740.55,525356646353.86536,273916156409.79172,99211518404.80318,687386700047.2051,17346365328.55158,20158812263.45341
103,62945036333.9134,183414933742.6053,1317192558168.583,609237138854.571,924161487133.2626,290588684964.36383,112194936358.12009,33743482616.430267,429694153775.9797
104,116769311994.37056,124700608633.98746,295121205526.0524,193282772881.6645,1733898648131.8564,311815662289.3963,231357273150.99023,75234553231.68675,36143416513.07898
105,306406580977.0873,99525750756.5508,526897792306.08,370553294838.0241,1076722932675.0251,3014170702688.702,441359481594.9924,17583909157.006554,241189827319.09384
106,13008949909.45954,417893154577.8401,989117316835.7832,138959176619.1346,1243106360646.7874,66074024835.397545,68783366060.92238,2272242283473.883,25309798809.26273
107,88213186283.20888,136182279211.54016,1389154380904.8862,1349517556358.8477,33700838763.07437,226454421798.4767,178089528185.48004,99314784696.10603,73235956513.30994
108,827671321927.651,93417323327.7462,691749309680.5416,2614278043116.1216,213605908375.4701,5386138900.621839,234633314114.9604,200722264848.24472,104257795683.0126
109,151090899221.2936,686808446535.9773,670129573841.4536,2037881618128.6604,180203320498.53732,827243347938.7296,32891249733.37633,140144801228.76755,154093805086.68216
110,79469867408.30356,206965216508.54712,2007339513433.473,131981199831.3091,276188810389.61914,1990341688009.8567,112805657052.38023,128238800095.3277,75029427298.61441
111,53537618041.12676,344987980735.29065,1816137389134.732,737494939173.1215,180167649390.2204,1185195927174.241,46302395448.02048,16057059887.31984,152425422176.93408
112,347374832726.51715,1451214754989.6052,1467629093233.667,233740633242.5511,146074785277.73022,153758595669.92172,24181404660.27288,36655107804.36556,38667611800.71451
113,50356496319.34133,165588290959.96057,252815092761.2402,190186795411.9109,280460840401.0239,753661486774.2607,32790789550.14408,29013026693.582,133685957020.69936
114,172738562209.95508,330906490585.5376,375267686237.6956,3774719651061.64,174319663411.96152,779786146983.4802,625401975022.7007,57297631356.755486,322367290088.4849
115,594244886080.1002,160639896404.92435,220487991845.52332,1155729509061.666,1333451610695.2944,1268841291163.3,52215158812.14936,21204802937.52701,32071693824.10372
116,86632953216.8211,125338368581.80827,249594107630.5124,676229296227.2834,130116908613.09636,1730121902454.5098,253789145276.6901,268159188514.90912,389779896709.4067
117,292788115590.6561,486692590112.0604,483590935699.0383,393887711473.47424,130048354422.18686,385083410527.0607,333240885534.8852,24338125087.95103,1720108482343.6465
118,659191391639.0851,48005877309.42651,90539562607.95074,1313084614870.8645,112829811046.27228,355049242031.4844,178377400300.62817,111068115238.91055,36879497386.58151
119,12722234959.488626,418001482679.5558,426447490456.5898,939264684171.1548,266459525780.26468,468668561183.9381,2243133630487.9834,27238744658.561573,9804226474.083237
120,162654394229.7481,663200139510.2725,2738416509624.4907,273824837501.96063,709943143006.0833,447472976289.2734,19559772651.441708,53928638685.24503,280329923617.0916
121,56003739526.19011,294025048601.0449,442325386332.3744,839018664061.983,1073675166984.3282,782524293752.4585,26301026815.449986,26782441153.03339,420524418314.6534
122,112381627079.95306,76956890259.0832,4440018709494.956,1432925418501.6135,1487323250321.416,2011465359235.4155,542100282485.3489,6334574780.72809,83205326472.13986
123,80445134985.01634,17257482635.796764,45843653644.05946,1669155636974.586,310683207027.7945,977680949571.3502,52634631368.68066,148816898119.08255,124132751074.95956
124,65219402280.48155,37820087617.94015,98407157195.02264,268593029005.08057,343027764738.6457,228737952312.8632,83451433260.18132,2669526244.736619,244496183637.155
125,80036610126.29768,59068577174.42703,215162984098.62296,1653219945219.5305,2475051401424.6,270504228388.9168,135209898830.21432,4326060436.6768265,535785081955.683
126,18769935775.932888,85136600402.2266,37383823284.35487,2675669952722.777,531514285523.327,3954370574778.137,555212476385.6113,19546952234.46931,285683761418.83246
127,207079059479.49664,479210762447.90765,221378440218.8504,3208327054043.3,9840805587321.54,1980158728949.8928,432928612228.4595,4619941776.180831,333584447307.63617
128,15461655050.685518,159814028695.1611,117592554264.14316,1284021209918.07,1445245812964.183,3185306632250.5933,231669572150.32712,9982810913.460695,186734154671.515
129,54149886219.08304,204976814628.32388,58292435957843.1,953166910155.676,1159741518125.9167,177113467659.71445,204656098381.47235,108748254676.3432,787630400253.435
130,2376905751.2755094,64074762917.085815,86760133783.65433,324729612201.8418,26395714440.18512,170047585283.8858,31221114717.24703,472565925232.62177,152596575234.13052
131,401326172883.4873,32003724677.388733,176562098555.3836,1341304952340.087,10383139850480.93,137614210036.43185,714031875604.2269,2051405051.278865,592510270032.3811
132,165358354457.5466,34689582344.57008,25803284634.9698,112690082547.0845,229567834981.1605,253660940349.83453,1141770392294.9548,10322222291.658249,519916054055.7973
133,68393989147.9489,76805211924.39142,37922341971.64651,764578631894.9606,219800441408.4396,123021656873.65591,601840726294.8307,25152495027.82388,204204717844.96265
134,127742335159.97536,86500690341.70724,271146611236.56305,2695310719615.008,968991474411.7222,101634553828.8611,25437324559.43476,2467950299.27736,1366618742467.77
135,197448887537.2844,628054545177.8252,145289649030.66013,313881425208.9601,332805793764.8537,87972082283.98045,83606000310.4261,112393142438.77158,1030779021109.0132
136,2935881857.51847,60561871796.84039,255070262099.5572,334962294258.0281,1671712772306.357,64118588357.81055,2810919180.362016,88715548554.4389,1402675164820.2937
137,353496457180.9784,252821987057.12808,62533862649.18179,63712784523.49526,1286546421916.2195,456577462693.6838,302583412351.3697,95682129078.46371,476110502309.546
138,172568991593.12314,116104680334.2692,304217102629.2348,73714792931.10048,251162038218.76813,35785876698.174446,725130754831.0928,69602212274.0739,221685777859.3101
139,20556930187.99744,1344063203399.5105,147780921358.16922,244136236853.71872,241503026415.0301,438657669252.8588,822257052866.2122,24283818908.03631,131156869369.16965
140,52106904526.34433,217344727832.168,333178714982.7807,91313988100.5637,49030527028.13454,366729688069.1605,156054136987.39935,523293455507.3968,96856582537.81609
141,14486954739.997663,280783680189.87445,660980806346.4658,349746967182.4058,664103192959.76,848684567165.694,160138483699.6655,40160188905.54858,296791362426.2056
142,124748284494.54948,12383419240.119516,122153985989.1604,159351358070.12915,205764750531.71243,122070824120.1741,74619051625.79922,59254098564.03718,239968302957.81583
143,4261391630.776725,13345117259.915005,1354294095646.6626,131933358697.13593,279259835686.3621,1120004565672.2598,2925456088.83064,43424534995.98598,267095602029.2769
144,1518757459.9257498,60296525916.98048,132924712854.96832,1091988140814.3772,415959284776.8584,785086505535.5651,396426821507.7572,17753251781.39863,464714283007.59705
145,233576069.4712161,91010957992.80504,84112695843.23387,792687576941.9443,157750393725.45853,1103257814906.921,127531430532.47118,108431188528.30476,9798867274.020664
146,2980181850.6495457,66146958481.66416,116203321735.36195,179866718290.11475,595660384246.1313,161862719228.9749,53607041112.14473,170056001631.51865,231982503540.857
147,1778751814.3309512,36139562764.33842,376522378400.3592,587077591164.75,113144414077.1594,420901355838.9984,318142626831.728,406328056658.4669,47894644410.63114
148,10349533536.327654,31597141367.106632,18264035615083.0,3585388133.3290124,384925904635.5399,6403717910.614521,69909190903.6586,117851002830.51674,836755013463.9679
149,24503692372.791862,195256136977.9945,41923843705.43809,10334042978.894327,355525480985.4489,32089781509.68673,65272263412.94813,40461351870.81545,63397174303.77311
150,43884981684.42099,49381165252.08153,134981646053.84404,2743572445.201625,326399217623.17505,159023063269.4174,48830300457.72492,84207455372.89612,50982942022.420616
151,14407175281.144045,219715083278.1468,193598344788.1325,249852744321.02463,1314538577219.6829,37618829770.01795,141120607530.35718,2465835365.8515687,371601595315.1721
152,120482491171.76074,424600226377.75793,1031217185972.6808,303635704871.0263,110052259717.65398,396497612676.69073,39858529091.04825,83374822164.50714,171039619098.35715
153,4826971862.830318,178019980875.26862,482863689035.3771,832952048094.1356,12821311503.595016,701466732441.8037,124500140632.48218,75003419704.12283,53454113662.88554
154,2045047627.56557,23954094753.53533,1028630309509.6448,319633832117.23413,117049634048.50656,21981799583.817726,40051223888.06935,190761878922.5115,18345511522.807835
155,9852043322.672668,5987331296.772639,180878963458.73755,192870581353.0684,24351692778.071224,109445342640.04906,103676149030.50706,38767370613.11263,33837596160.94597
156,67657989471.93843,98399687867.72176,26494976027.704384,659452601420.4581,151118503205.916,672162987421.4775,25618466540.31084,31544799674.03305,21573834201.799023
157,13796299398.52592,6765194634351.286,47627336999.79225,818999119631.4396,260397176419.48825,640685313138.0342,71098068531.92198,170028064630.72678,139695031207.22247
158,23170067831.77136,19406056773.61925,1669804058722.2302,75696812261.474,668412507196.9226,239093361517.5584,65374720649.88348,51617669942.63281,134343847860.61314
159,81545591241.57365,118411250576.14397,679277063382.06,175515575937.87497,4689187219722.167,3619211644684.113,845485711.9317521,103822207457.08195,1580425232405.3435
